drug,targets,moa-broad,moa-fine,human-approved,clinical-trials,gpt-notes-approval,canonical_smiles,pubchem_cid
Flutamide,AR,inhibitor/antagonist,Androgen receptor antagonist,yes,yes,Used to treat prostate cancer as an antiandrogen.,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,3397.0
Thymopentin,,unclear,unclear,no,yes,In clinical trials for immune deficiency and autoimmune diseases.,CC(C)C(C(=O)NC(CC1=CC=C(C=C1)O)C(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(CCCCN)NC(=O)C(CCCN=C(N)N)N,451417.0
Aliskiren,REN,inhibitor/antagonist,unclear,yes,yes,Renin inhibitor for hypertension. Approved in the US and EU.,CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N,5493444.0
Verapamil,"CYP3A4, ABCB1",inhibitor/antagonist,unclear,yes,yes,Used as a racemic mixture for hypertension and angina.,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,2520.0
(R)-Verapamil (hydrochloride),ABCB1,inhibitor/antagonist,unclear,no,yes,"Racemic verapamil is approved, but not specifically (R)-enantiomer alone.",CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC.Cl,170014.0
Ritonavir,,inhibitor/antagonist,unclear,yes,yes,Used in combination HIV therapies.,CC(C)C1=NC(=CS1)CN(C)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=CC=C2)CC(C(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,392622.0
Goserelin (acetate),GNRHR,activator/agonist,unclear,yes,yes,It's approved for prostate and breast cancer treatment.,CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NNC(=O)N)NC(=O)C(COC(C)(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6.CC(=O)O,16052011.0
Bestatin,ANPEP,inhibitor/antagonist,unclear,no,yes,Studied in trials; not approved for human therapeutic use.,CC(C)CC(C(=O)O)NC(=O)C(C(CC1=CC=CC=C1)N)O,72172.0
Bestatin (hydrochloride),,inhibitor/antagonist,unclear,no,yes,Investigated in clinical trials but not approved for human use.,CC(C)CC(C(=O)O)NC(=O)C(C(CC1=CC=CC=C1)N)O.Cl,11957481.0
Imiquimod (maleate),TLR7,activator/agonist,unclear,yes,yes,"Approved for skin conditions; imiquimod itself, not specifically maleate salt.",CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N.C(=CC(=O)O)C(=O)O,11595577.0
Imiquimod (hydrochloride),TLR7,activator/agonist,unclear,yes,yes,Approved for topical treatment of skin conditions like actinic keratosis.,CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N.Cl,13982876.0
Encorafenib,BRAF,inhibitor/antagonist,RAF inhibitor,yes,yes,Approved for use in BRAF-mutant melanoma.,CC(C)N1C=C(C(=N1)C2=C(C(=CC(=C2)Cl)NS(=O)(=O)C)F)C3=NC(=NC=C3)NCC(C)NC(=O)OC,50922675.0
AZD1390,ATM,inhibitor/antagonist,unclear,no,yes,"Investigational ATM kinase inhibitor in clinical trials, not approved for human use.",CC(C)N1C2=C(C=NC3=CC(=C(C=C32)C4=CN=C(C=C4)OCCCN5CCCCC5)F)N(C1=O)C,126689157.0
Sapanisertib,MTOR,inhibitor/antagonist,MTOR inhibitor,no,yes,"Investigational mTOR inhibitor, not approved yet but studied for cancer treatment.",CC(C)N1C2=NC=NC(=C2C(=N1)C3=CC4=C(C=C3)OC(=N4)N)N,45375953.0
Torkinib,"MTOR, PDGFRA, PRKDC, PIK3CD, PIK3CG, PIK3CA, PIK3CB, HCK, SRC, KDR, ABL1, EPHB4, EGFR",inhibitor/antagonist,MTOR inhibitor,no,yes,In clinical trials for cancer treatment but not yet approved.,CC(C)N1C2=NC=NC(=C2C(=N1)C3=CC4=C(N3)C=CC(=C4)O)N,135565635.0
Belumosudil,"ROCK2, ROCK1",inhibitor/antagonist,unclear,yes,yes,Approved for chronic graft-versus-host disease in the US.,CC(C)NC(=O)COC1=CC=CC(=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC5=C(C=C4)NN=C5,11950170.0
Belumosudil (mesylate),"ROCK2, ROCK1",inhibitor/antagonist,unclear,yes,yes,Approved for chronic graft-versus-host disease.,CC(C)NC(=O)COC1=CC=CC(=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC5=C(C=C4)NN=C5.CS(=O)(=O)O,146681181.0
Esmolol (hydrochloride),ADRB1,inhibitor/antagonist,unclear,yes,yes,Used as a beta-1 blocker for acute heart issues.,CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O.Cl,104769.0
Erdafitinib,"FGFR1, FGFR2, FGFR3, FGFR4",inhibitor/antagonist,Other TK inhibitor,yes,yes,Approved for bladder cancer treatment.,CC(C)NCCN(C1=CC2=NC(=CN=C2C=C1)C3=CN(N=C3)C)C4=CC(=CC(=C4)OC)OC,67462786.0
Malotilate,ALOX5,inhibitor/antagonist,unclear,no,yes,"Investigated, but not approved for human use.",CC(C)OC(=O)C(=C1SC=CS1)C(=O)OC(C)C,4006.0
Fenofibrate,"CYP2C19, CYP2B6, CYP2C9, CYP2C8, CYP3A4, PPARA",unclear,unclear,yes,yes,Fenofibrate is approved for human use in treating hypercholesterolemia.,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,3339.0
MK-8353,"MAPK3, MAPK1",inhibitor/antagonist,Other MAPK inhibitor,no,yes,Investigated for cancer treatment in clinical trials.,CC(C)OC1=NC=C(C=C1)C2=NNC3=C2C=C(C=C3)NC(=O)C4(CCN(C4)CC(=O)N5CCC(=CC5)C6=CC=C(C=C6)C7=NN(C=N7)C)SC,58282870.0
crizotinib,"ALK, MET, ROS1",inhibitor/antagonist,Multi-TK inhibitor,yes,yes,Approved for NSCLC treatment.,CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,11626560.0
(S)-Crizotinib,NUDT1,inhibitor/antagonist,unclear,no,yes,"Racemic mixture Crizotinib is approved, not specific enantiomer.",CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,56671814.0
Crizotinib (hydrochloride),"ALK, MET, ROS1",inhibitor/antagonist,Multi-TK inhibitor,yes,yes,Approved for ALK-positive NSCLC treatment.,CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N.Cl,71576688.0
Aprepitant,TACR1,inhibitor/antagonist,unclear,yes,yes,Aprepitant is approved for preventing chemotherapy-induced nausea and vomiting.,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,135413536.0
Cinacalcet,CASR,activator/agonist,unclear,yes,yes,Used to treat secondary hyperparathyroidism and parathyroid carcinoma.,CC(C1=CC=CC2=CC=CC=C21)NCCCC3=CC(=CC=C3)C(F)(F)F,156419.0
Naproxen,"PTGS1, PTGS2",inhibitor/antagonist,Cyclooxygenase inhibitor,yes,yes,Used as non-prescription NSAID in many countries.,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,156391.0
Zileuton,ALOX5,inhibitor/antagonist,unclear,yes,yes,Approved for asthma treatment; 5-lipoxygenase inhibitor.,CC(C1=CC2=CC=CC=C2S1)N(C(=O)N)O,60490.0
Voriconazole,,inhibitor/antagonist,unclear,yes,yes,Approved for treating invasive fungal infections.,CC(C1=NC=NC=C1F)C(CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O,71616.0
Carbidopa (monohydrate),AHR,inhibitor/antagonist,unclear,yes,yes,Used in combination with levodopa for Parkinson's treatment.,CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)NN,2563.0
Silodosin,"ADRA1A, ADRA1B, ADRA1D",inhibitor/antagonist,unclear,yes,yes,Approved for benign prostatic hyperplasia treatment.,CC(CC1=CC2=C(C(=C1)C(=O)N)N(CC2)CCCO)NCCOC3=CC=CC=C3OCC(F)(F)F,5312125.0
Darolutamide,AR,inhibitor/antagonist,Androgen receptor antagonist,yes,yes,Approved for treating non-metastatic castration-resistant prostate cancer.,CC(CN1C=CC(=N1)C2=CC(=C(C=C2)C#N)Cl)NC(=O)C3=NNC(=C3)C(C)O,67171867.0
Benproperine (phosphate),ARPC2,inhibitor/antagonist,unclear,yes,yes,Studied as a cough suppressant; not widely approved.,CC(COC1=CC=CC=C1CC2=CC=CC=C2)N3CCCCC3.OP(=O)(O)O,167811.0
Bicalutamide,AR,inhibitor/antagonist,Androgen receptor antagonist,yes,yes,Approved as antiandrogen for prostate cancer treatment.,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,2375.0
Captopril,ACE,inhibitor/antagonist,unclear,yes,yes,First ACE inhibitor approved for hypertension and heart failure.,CC(CS)C(=O)N1CCCC1C(=O)O,44093.0
Tirabrutinib,BTK,inhibitor/antagonist,Other TK inhibitor,no,yes,"In clinical trials, not approved for human use yet.",CC#CC(=O)N1CCC(C1)N2C3=NC=NC(=C3N(C2=O)C4=CC=C(C=C4)OC5=CC=CC=C5)N,54755438.0
Tirabrutinib (hydrochloride),BTK,inhibitor/antagonist,Other TK inhibitor,no,yes,Not approved in US/EU; used investigationally in some regions.,CC#CC(=O)N1CCC(C1)N2C3=NC=NC(=C3N(C2=O)C4=CC=C(C=C4)OC5=CC=CC=C5)N.Cl,71571562.0
Mifepristone,"NR3C1, PGR",inhibitor/antagonist,unclear,yes,yes,Approved for medical abortion and Cushing's syndrome treatment.,CC#CC1(CCC2C1(CC(C3=C4CCC(=O)C=C4CCC23)C5=CC=C(C=C5)N(C)C)C)O,55245.0
Fostamatinib (disodium hexahydrate),"SYK, FLT3, LYN, LCK",inhibitor/antagonist,Other TK inhibitor,yes,yes,Approved for treatment of chronic immune thrombocytopenia in adults.,CC1(C(=O)N(C2=C(O1)C=CC(=N2)NC3=NC(=NC=C3F)NC4=CC(=C(C(=C4)OC)OC)OC)COP(=O)([O-])[O-])C.O.O.O.O.O.O.[Na+].[Na+],146673142.0
Temuterkib,,inhibitor/antagonist,Other MAPK inhibitor,no,yes,Temuterkib is in clinical trials for cancer treatment.,CC1(C2=C(C=C(S2)C3=NC(=NC=C3)NC4=CC=NN4C)C(=O)N1CCN5CCOCC5)C,121408882.0
Tetracycline (hydrochloride),,unclear,unclear,yes,yes,Approved antibiotic often used as tetracycline hydrochloride.,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl,54704426.0
Glycyrrhizic acid,,inhibitor/antagonist,unclear,no,yes,"Tested for therapeutic effects, not approved for human use.",CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C,14982.0
Diammonium Glycyrrhizinate,,unclear,unclear,no,yes,Used in trials for hepatitis. Not approved for general human use.,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C.N.N,656656.0
venetoclax,BCL2,inhibitor/antagonist,unclear,yes,yes,Approved for chronic lymphocytic leukemia and other cancers.,CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCC6CCOCC6)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C,49846579.0
Delamanid,,inhibitor/antagonist,unclear,yes,yes,Approved for MDR-TB treatment.,CC1(CN2C=C(N=C2O1)[N+](=O)[O-])COC3=CC=C(C=C3)N4CCC(CC4)OC5=CC=C(C=C5)OC(F)(F)F,6480466.0
Dexmedetomidine,"ADRA2A, ADRA2B, ADRA2C",activator/agonist,Adrenoceptor agonist,yes,yes,Approved as sedative and analgesic.,CC1=C(C(=CC=C1)C(C)C2=CN=CN2)C,5311068.0
Ranolazine,,inhibitor/antagonist,unclear,yes,yes,Approved for treating chronic angina.,CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(COC3=CC=CC=C3OC)O,56959.0
Lopinavir,,inhibitor/antagonist,unclear,yes,yes,Combined with ritonavir for HIV treatment. Approved for human use.,CC1=C(C(=CC=C1)C)OCC(=O)NC(CC2=CC=CC=C2)C(CC(CC3=CC=CC=C3)NC(=O)C(C(C)C)N4CCCNC4=O)O,92727.0
Valdecoxib,PTGS2,inhibitor/antagonist,Cyclooxygenase inhibitor,no,yes,Withdrawn due to safety concerns related to cardiovascular risks.,CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N,119607.0
Cloxacillin (sodium),,inhibitor/antagonist,unclear,yes,yes,Approved as a penicillinase-resistant antibiotic for human use.,CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)[O-].[Na+],23675320.0
Elagolix sodium,GNRHR,inhibitor/antagonist,unclear,yes,yes,Approved for endometriosis pain in women.,CC1=C(C(=O)N(C(=O)N1CC2=C(C=CC=C2F)C(F)(F)F)CC(C3=CC=CC=C3)NCCCC(=O)[O-])C4=C(C(=CC=C4)OC)F.[Na+],24785956.0
palbociclib,"CDK4, CDK6",inhibitor/antagonist,CDK inhibitor,yes,yes,Approved for human use as a cancer treatment.,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C,5330286.0
Retinoic acid,"RARB, RARG, RARA, PPARD",activator/agonist,Retinoic receptor agonist,yes,yes,Approved for acne and leukemia treatment.,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,444795.0
PH-797804,MAPK14,inhibitor/antagonist,Other MAPK inhibitor,no,yes,"Investigated as an anti-inflammatory agent, not approved for human use.",CC1=C(C=C(C=C1)C(=O)NC)N2C(=CC(=C(C2=O)Br)OCC3=C(C=C(C=C3)F)F)C,22049997.0
Ponatinib,"ABL1, PDGFRA, KDR, FGFR1, SRC, KIT",inhibitor/antagonist,Multi-TK inhibitor,yes,yes,Approved for treatment of certain types of leukemia.,CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)C#CC4=CN=C5N4N=CC=C5,24826799.0
Radotinib,ABL1,inhibitor/antagonist,Other TK inhibitor,no,yes,"Tested for chronic myeloid leukemia, not approved in major markets.",CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=NC=CN=C5,16063245.0
NVP-BHG712,EPHB4,inhibitor/antagonist,unclear,no,yes,Investigated as angiogenesis inhibitor; not approved for human use.,CC1=C(C=C(C=C1)C(=O)NC2=CC=CC(=C2)C(F)(F)F)NC3=C4C=NN(C4=NC(=N3)C5=CN=CC=C5)C,16747388.0
Canagliflozin,SLC5A2,inhibitor/antagonist,Glucose transporter inhibitor,yes,yes,Approved for type 2 diabetes treatment.,CC1=C(C=C(C=C1)C2C(C(C(C(O2)CO)O)O)O)CC3=CC=C(S3)C4=CC=C(C=C4)F,24812758.0
MK-3903,PRKAA1,activator/agonist,unclear,no,yes,"Investigated for NASH, not yet approved for human use.",CC1=C(C=C(C=C1)OC2=NC3=C(N2)C=C(C(=C3)C4=CC=C(C=C4)C5=CC=CC=C5)Cl)C(=O)O,45256689.0
EX229,PRKAA1,activator/agonist,unclear,no,no,No clinical trial information found on clinicaltrials.gov.,CC1=C(C=C(C=C1)OC2=NC3=C(N2)C=C(C(=C3)C4=CC5=C(C=C4)N(C=C5)C)Cl)C(=O)O,45256693.0
Flumatinib (mesylate),ABL1,inhibitor/antagonist,Other TK inhibitor,no,yes,Used in trials for chronic myeloid leukemia.,CC1=C(C=C(C=N1)NC(=O)C2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O,46910592.0
Tucatinib,ERBB2,inhibitor/antagonist,EGFR/ERBB inhibitor,yes,yes,Approved for human use in advanced HER2-positive breast cancer.,CC1=C(C=CC(=C1)NC2=NC=NC3=C2C=C(C=C3)NC4=NC(CO4)(C)C)OC5=CC6=NC=NN6C=C5,51039094.0
Trimetrexate,DHFR,inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,Used with leucovorin for treating certain types of pneumonia.,CC1=C(C=CC2=C1C(=NC(=N2)N)N)CNC3=CC(=C(C(=C3)OC)OC)OC,5583.0
APTO-253,"MYC, KLF4",unclear,unclear,no,yes,"Investigated for cancer, but development discontinued.",CC1=C(C2=C(N1)C=CC(=C2)F)C3=NC4=C5C=CC=NC5=C6C(=C4N3)C=CC=N6,11960271.0
Vitamin K4,,unclear,unclear,no,yes,Investigated in a clinical trial in Egypt.,CC1=C(C2=CC=CC=C2C(=C1)OC(=O)C)OC(=O)C,11310.0
Panobinostat,"HDAC1, HDAC2, HDAC3, HDAC6, HDAC8, HDAC10, HDAC11",inhibitor/antagonist,HDAC inhibitor,yes,yes,Approved for multiple myeloma treatment.,CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)C=CC(=O)NO,6918837.0
Rimonabant,CNR1,inhibitor/antagonist,unclear,no,yes,Withdrawn due to psychiatric side effects.,CC1=C(N(N=C1C(=O)NN2CCCCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)Cl,104850.0
Rimonabant (Hydrochloride),CNR1,inhibitor/antagonist,unclear,no,yes,"Withdrawn due to psychiatric side effects, once used as anti-obesity drug.",CC1=C(N(N=C1C(=O)NN2CCCCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)Cl.Cl,104849.0
Ligustrazine,,unclear,unclear,no,yes,"Mainly used in traditional Chinese medicine, limited human trials exist.",CC1=C(N=C(C(=N1)C)C)C,14296.0
Sulfisoxazole,"EDNRA, EDNRB",inhibitor/antagonist,unclear,yes,yes,Discontinued in U.S.; previously used for bacterial infections.,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N,5344.0
Alpelisib,PIK3CA,inhibitor/antagonist,PI3K/AKT inhibitor,yes,yes,Approved for HR+/HER2- advanced breast cancer in combination with fulvestrant.,CC1=C(SC(=N1)NC(=O)N2CCCC2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,56649450.0
Trametinib,"MAP2K1, MAP2K2",inhibitor/antagonist,MEK inhibitor,yes,yes,Approved for melanoma treatment.,CC1=C2C(=C(N(C1=O)C)NC3=C(C=C(C=C3)I)F)C(=O)N(C(=O)N2C4=CC=CC(=C4)NC(=O)C)C5CC5,11707110.0
Nevirapine,,inhibitor/antagonist,unclear,yes,yes,Antiretroviral for HIV treatment approved for human use.,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,4463.0
Tomivosertib,,inhibitor/antagonist,Protein synthesis inhibitor,no,yes,In clinical trials for cancer; not FDA approved for human use yet.,CC1=C2C(=O)NC3(N2C(=O)C(=C1)NC4=NC=NC(=C4)N)CCCCC3,118598754.0
Paclitaxel,,unclear,Microtubule inhibitor,yes,yes,Chemotherapy drug approved for cancer treatment.,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,36314.0
Docetaxel,,inhibitor/antagonist,Microtubule inhibitor,yes,yes,"Approved anticancer drug, often used in chemotherapy treatments.",CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,148124.0
Docetaxel (Trihydrate),"TUBB1, TUBB3, TUBB4B, TUBB4A, TUBB2A, TUBB2B",unclear,Microtubule inhibitor,yes,yes,"Approved cancer treatment, commonly used in chemotherapy.",CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O.O.O.O,148123.0
Roxadustat,,inhibitor/antagonist,unclear,yes,yes,"Approved for anemia treatment in some countries, e.g., China, Japan.",CC1=C2C=C(C=CC2=C(C(=N1)C(=O)NCC(=O)O)O)OC3=CC=CC=C3,11256664.0
Thymol,TRPA1,activator/agonist,unclear,no,yes,Used in clinical trials as antiseptic and antifungal.,CC1=CC(=C(C=C1)C(C)C)O,6989.0
Gemfibrozil,"PPARA, CYP2C9, CYP2C19, CYP2C8, CYP1A2",unclear,unclear,yes,yes,Approved for dyslipidemia treatment.,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,3463.0
Vortioxetine,"SLC6A4, HTR3A, HTR7",unclear,unclear,yes,yes,Approved for major depressive disorder.,CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C,9966051.0
OTS514,MAP3K8,inhibitor/antagonist,Other MAPK inhibitor,no,yes,Investigational drug in preclinical and early phase clinical trials.,CC1=CC(=C(C2=C1NC(=O)C3=C2C=CS3)C4=CC=C(C=C4)C(C)CN)O,67448836.0
Pralsetinib,RET,inhibitor/antagonist,Other TK inhibitor,yes,yes,Approved for RET fusion-positive cancers.,CC1=CC(=NN1)NC2=NC(=NC(=C2)C)C3CCC(CC3)(C(=O)NC(C)C4=CN=C(C=C4)N5C=C(C=N5)F)OC,129073603.0
Menadione,,unclear,unclear,no,yes,"Used in trials; a vitamin K analog, not fully approved for human use.",CC1=CC(=O)C2=CC=CC=C2C1=O,4055.0
Ciclopirox,,unclear,unclear,yes,yes,"Approved for antifungal use, primarily in nail and skin treatments.",CC1=CC(=O)N(C(=C1)C2CCCCC2)O,2749.0
Methylthiouracil,,unclear,unclear,no,yes,"Used in research, not approved for human therapeutic use.",CC1=CC(=O)NC(=S)N1,667493.0
Tolcapone,COMT,inhibitor/antagonist,unclear,yes,yes,"Used in Parkinson's treatment, subject to liver monitoring.",CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-],4659569.0
Tolmetin,"PTGS1, PTGS2",inhibitor/antagonist,Cyclooxygenase inhibitor,yes,yes,Approved NSAID for pain and inflammation.,CC1=CC=C(C=C1)C(=O)C2=CC=C(N2C)CC(=O)O,5509.0
Celecoxib,PTGS2,inhibitor/antagonist,Cyclooxygenase inhibitor,yes,yes,Used for arthritis pain and inflammation; approved NSAID.,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,2662.0
S-Adenosyl-L-methionine (disulfate tosylate),,unclear,unclear,yes,yes,Used as dietary supplement; approved in some countries for depression treatment.,CC1=CC=C(C=C1)S(=O)(=O)O.C[S+](CCC(C(=O)O)N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.OS(=O)(=O)O.OS(=O)(=O)[O-],9875462.0
Lapatinib ditosylate,"EGFR, ERBB2",inhibitor/antagonist,EGFR/ERBB inhibitor,yes,yes,Approved for use in breast cancer treatment.,CC1=CC=C(C=C1)S(=O)(=O)O.CC1=CC=C(C=C1)S(=O)(=O)O.CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl.O,11557040.0
LY-2584702 (tosylate salt),RPS6KB1,inhibitor/antagonist,MTOR inhibitor,no,yes,Investigated in clinical trials for cancer treatment. Not approved for human use.,CC1=CC=C(C=C1)S(=O)(=O)O.CN1C=C(N=C1C2CCN(CC2)C3=NC=NC4=C3C=NN4)C5=CC(=C(C=C5)F)C(F)(F)F,46205871.0
Edoxaban (tosylate monohydrate),F10,inhibitor/antagonist,unclear,yes,yes,Approved as an anticoagulant for preventing stroke and blood clots.,CC1=CC=C(C=C1)S(=O)(=O)O.CN1CCC2=C(C1)SC(=N2)C(=O)NC3CC(CCC3NC(=O)C(=O)NC4=NC=C(C=C4)Cl)C(=O)N(C)C.O,25022378.0
Lumateperone (tosylate),"HTR2A, DRD2",unclear,unclear,yes,yes,Approved for schizophrenia; marketed as Caplyta.,CC1=CC=C(C=C1)S(=O)(=O)O.CN1CCN2C3CCN(CC3C4=C2C1=CC=C4)CCCC(=O)C5=CC=C(C=C5)F,44241743.0
Mozavaptan,AVPR2,inhibitor/antagonist,unclear,no,yes,In trials for conditions like hyponatremia but not approved for use.,CC1=CC=CC=C1C(=O)NC2=CC=C(C=C2)C(=O)N3CCCC(C4=CC=CC=C43)N(C)C,119369.0
Bexarotene,"RXRA, RXRB, RXRG",activator/agonist,Retinoic receptor agonist,yes,yes,Approved for treating cutaneous T-cell lymphoma.,CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C,82146.0
Sulfatinib,"FLT1, KDR, FLT4, FGFR1, CSF1R",inhibitor/antagonist,Multi-TK inhibitor,no,yes,"Investigated in trials for neuroendocrine tumors, not yet approved for use.",CC1=CC2=C(N1)C=CC(=C2)OC3=NC(=NC=C3)NC4=CC=CC(=C4)CS(=O)(=O)NCCN(C)C,52920501.0
Olanzapine,"HTR2A, HTR2C, DRD2, DRD4, ADRA1A, ADRA1B, ADRA1D, HTR6, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5",inhibitor/antagonist,unclear,yes,yes,Olanzapine is used in treatment of schizophrenia and bipolar disorder.,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,135398745.0
AZD-7648,PRKDC,inhibitor/antagonist,DNA synthesis/repair inhibitor,no,yes,"Inhibitor studied for DNA repair, not yet approved for human use.",CC1=CC2=NC=NN2C=C1NC3=NC=C4C(=N3)N(C(=O)N4C)C5CCOCC5,135151360.0
Megestrol,,unclear,unclear,yes,yes,Used for appetite loss and weight gain in cancer/AIDS patients.,CC1=CC2C(CCC3(C2CCC3(C(=O)C)O)C)C4(C1=CC(=O)CC4)C,19090.0
Omeprazole (sodium),,inhibitor/antagonist,unclear,yes,yes,Approved in salt form as acid reflux treatment.,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C([N-]2)C=C(C=C3)OC.[Na+],12108541.0
Omeprazole,,inhibitor/antagonist,unclear,yes,yes,Used as part of racemic mixture for acid-related conditions.,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,4594.0
Fedratinib (hydrochloride hydrate),"JAK2, FLT3, RET",inhibitor/antagonist,JAK/STAT inhibitor,yes,yes,Approved for treatment of myelofibrosis.,CC1=CN=C(N=C1NC2=CC(=CC=C2)S(=O)(=O)NC(C)(C)C)NC3=CC=C(C=C3)OCCN4CCCC4.O.Cl.Cl,67517580.0
